TimeStamp,Open,High,Low,Close,Time
1633104000,3235.7,3330.0,3223.99,3309.91,2021-10-02 00:00:00
1633132800,3309.91,3344.0,3257.0,3279.9,2021-10-02 08:00:00
1633161600,3279.9,3398.59,3265.0,3386.54,2021-10-02 16:00:00
1633190400,3386.55,3469.0,3366.2,3387.76,2021-10-03 00:00:00
1633219200,3387.77,3425.62,3342.51,3393.07,2021-10-03 08:00:00
1633248000,3393.08,3446.95,3369.6,3404.75,2021-10-03 16:00:00
1633276800,3404.75,3488.0,3384.07,3417.73,2021-10-04 00:00:00
1633305600,3417.73,3426.49,3322.11,3378.24,2021-10-04 08:00:00
1633334400,3378.24,3425.0,3270.0,3322.51,2021-10-04 16:00:00
1633363200,3322.46,3437.19,3310.0,3386.31,2021-10-05 00:00:00
1633392000,3386.31,3417.99,3363.78,3389.0,2021-10-05 08:00:00
1633420800,3389.0,3473.89,3381.36,3418.35,2021-10-05 16:00:00
1633449600,3418.67,3545.0,3407.14,3515.27,2021-10-06 00:00:00
1633478400,3515.48,3538.7,3439.91,3456.12,2021-10-06 08:00:00
1633507200,3456.13,3632.11,3342.0,3613.01,2021-10-06 16:00:00
1633536000,3613.01,3622.92,3547.56,3574.89,2021-10-07 00:00:00
1633564800,3574.88,3613.77,3470.8,3611.4,2021-10-07 08:00:00
1633593600,3611.4,3642.29,3520.0,3584.99,2021-10-07 16:00:00
1633622400,3584.8,3653.98,3555.78,3587.47,2021-10-08 00:00:00
1633651200,3587.47,3618.02,3547.09,3602.7,2021-10-08 08:00:00
1633680000,3602.45,3695.0,3580.0,3620.96,2021-10-08 16:00:00
1633708800,3620.95,3646.86,3532.0,3563.13,2021-10-09 00:00:00
1633737600,3563.13,3624.25,3538.07,3606.3,2021-10-09 08:00:00
1633766400,3606.31,3635.0,3568.93,3600.76,2021-10-09 16:00:00
1633795200,3600.75,3609.66,3556.0,3574.82,2021-10-10 00:00:00
1633824000,3574.83,3604.0,3480.0,3582.18,2021-10-10 08:00:00
1633852800,3582.18,3598.41,3523.48,3557.65,2021-10-10 16:00:00
1633881600,3557.66,3572.17,3405.0,3414.22,2021-10-11 00:00:00
1633910400,3414.22,3585.0,3371.0,3577.07,2021-10-11 08:00:00
1633939200,3577.07,3623.8,3532.69,3593.57,2021-10-11 16:00:00
1633968000,3593.58,3599.99,3465.7,3542.12,2021-10-12 00:00:00
1633996800,3542.12,3543.19,3447.32,3481.59,2021-10-12 08:00:00
1634025600,3481.59,3547.11,3403.21,3505.02,2021-10-12 16:00:00
1634054400,3505.02,3526.13,3418.0,3491.46,2021-10-13 00:00:00
1634083200,3491.43,3532.37,3426.04,3427.76,2021-10-13 08:00:00
1634112000,3428.07,3513.48,3412.7,3485.52,2021-10-13 16:00:00
1634140800,3485.53,3613.0,3480.0,3607.42,2021-10-14 00:00:00
1634169600,3607.41,3662.8,3586.04,3630.01,2021-10-14 08:00:00
1634198400,3630.0,3819.0,3620.0,3808.42,2021-10-14 16:00:00
1634227200,3808.41,3824.0,3752.4,3790.82,2021-10-15 00:00:00
1634256000,3790.82,3859.6,3734.1,3805.05,2021-10-15 08:00:00
1634284800,3805.05,3833.45,3744.01,3791.09,2021-10-15 16:00:00
1634313600,3791.09,3907.77,3788.88,3868.99,2021-10-16 00:00:00
1634342400,3868.38,3872.98,3823.04,3853.72,2021-10-16 08:00:00
1634371200,3853.71,3971.0,3850.15,3907.64,2021-10-16 16:00:00
1634400000,3907.64,3914.75,3803.56,3829.96,2021-10-17 00:00:00
1634428800,3829.96,3919.19,3805.12,3877.48,2021-10-17 08:00:00
1634457600,3877.47,3910.0,3765.96,3788.21,2021-10-17 16:00:00
1634486400,3788.21,3862.92,3640.0,3846.85,2021-10-18 00:00:00
1634515200,3847.0,3893.14,3832.0,3837.52,2021-10-18 08:00:00
1634544000,3837.81,3861.6,3676.0,3761.0,2021-10-18 16:00:00
1634572800,3761.0,3779.81,3695.17,3744.96,2021-10-19 00:00:00
1634601600,3744.96,3847.0,3732.0,3809.51,2021-10-19 08:00:00
1634630400,3809.57,3860.0,3741.55,3774.98,2021-10-19 16:00:00
1634659200,3774.99,3886.89,3774.49,3877.03,2021-10-20 00:00:00
1634688000,3876.98,3901.36,3828.05,3858.27,2021-10-20 08:00:00
1634716800,3858.27,4081.0,3845.0,4080.99,2021-10-20 16:00:00
1634745600,4081.0,4169.0,4053.62,4161.15,2021-10-21 00:00:00
1634774400,4161.37,4241.29,4120.01,4162.55,2021-10-21 08:00:00
1634803200,4162.54,4375.0,4013.13,4090.0,2021-10-21 16:00:00
1634832000,4090.0,4137.88,4041.0,4052.99,2021-10-22 00:00:00
1634860800,4053.0,4167.41,4051.31,4142.15,2021-10-22 08:00:00
1634889600,4142.15,4156.3,3961.11,3966.52,2021-10-22 16:00:00
1634918400,3966.53,3998.18,3888.0,3972.2,2021-10-23 00:00:00
1634947200,3972.19,4052.89,3945.04,4012.84,2021-10-23 08:00:00
1634976000,4012.84,4097.5,3937.51,4086.6,2021-10-23 16:00:00
1635004800,4086.61,4172.0,4065.0,4167.12,2021-10-24 00:00:00
1635033600,4167.13,4186.57,4076.89,4094.13,2021-10-24 08:00:00
1635062400,4094.13,4122.31,3983.75,4000.11,2021-10-24 16:00:00
1635091200,4000.11,4099.98,3961.5,4082.33,2021-10-25 00:00:00
1635120000,4082.33,4177.62,4067.71,4149.33,2021-10-25 08:00:00
1635148800,4149.33,4213.0,4105.41,4210.11,2021-10-25 16:00:00
1635177600,4210.11,4236.0,4169.29,4220.37,2021-10-26 00:00:00
1635206400,4220.36,4257.43,4175.67,4198.76,2021-10-26 08:00:00
1635235200,4198.77,4234.11,4133.35,4187.64,2021-10-26 16:00:00
1635264000,4187.64,4297.0,4090.21,4131.52,2021-10-27 00:00:00
1635292800,4131.52,4307.0,4117.48,4136.34,2021-10-27 08:00:00
1635321600,4136.34,4136.66,3931.59,3993.47,2021-10-27 16:00:00
1635350400,3993.65,4024.42,3909.0,3922.0,2021-10-28 00:00:00
1635379200,3921.99,4040.7,3890.17,4009.86,2021-10-28 08:00:00
1635408000,4009.85,4205.0,4009.0,4151.21,2021-10-28 16:00:00
1635436800,4151.21,4295.0,4115.95,4286.02,2021-10-29 00:00:00
1635465600,4286.01,4405.5,4265.97,4307.56,2021-10-29 08:00:00
1635494400,4308.0,4449.47,4278.7,4440.3,2021-10-29 16:00:00
1635523200,4440.77,4460.47,4344.55,4418.89,2021-10-30 00:00:00
1635552000,4418.89,4434.06,4328.0,4349.72,2021-10-30 08:00:00
1635580800,4349.72,4357.85,4232.2,4282.45,2021-10-30 16:00:00
1635609600,4282.44,4344.29,4241.0,4322.68,2021-10-31 00:00:00
1635638400,4322.68,4399.14,4299.23,4318.16,2021-10-31 08:00:00
1635667200,4317.61,4320.0,4164.35,4214.36,2021-10-31 16:00:00
1635696000,4214.35,4329.46,4191.68,4287.21,2021-11-01 00:00:00
1635724800,4287.48,4325.0,4146.3,4302.93,2021-11-01 08:00:00
1635753600,4302.94,4386.58,4294.52,4349.98,2021-11-01 16:00:00
1635782400,4349.97,4366.0,4264.63,4319.43,2021-11-02 00:00:00
1635811200,4319.43,4387.81,4284.43,4340.81,2021-11-02 08:00:00
1635840000,4340.82,4519.69,4330.02,4511.42,2021-11-02 16:00:00
1635868800,4511.43,4599.6,4473.45,4589.89,2021-11-03 00:00:00
1635897600,4589.68,4639.98,4508.16,4610.62,2021-11-03 08:00:00
1635926400,4610.62,4620.45,4455.0,4545.68,2021-11-03 16:00:00
1635955200,4545.67,4665.87,4500.0,4603.35,2021-11-04 00:00:00
1635984000,4603.35,4606.65,4513.73,4516.16,2021-11-04 08:00:00
1636012800,4516.16,4580.82,4459.21,4480.33,2021-11-04 16:00:00
1636041600,4480.33,4537.0,4420.08,4532.32,2021-11-05 00:00:00
1636070400,4532.31,4570.05,4468.23,4529.35,2021-11-05 08:00:00
1636099200,4529.35,4544.71,4450.72,4462.04,2021-11-05 16:00:00
1636128000,4462.04,4510.12,4438.8,4474.24,2021-11-06 00:00:00
1636156800,4474.24,4515.0,4455.88,4471.72,2021-11-06 08:00:00
1636185600,4471.72,4495.67,4326.17,4398.57,2021-11-06 16:00:00
1636214400,4398.57,4530.0,4382.53,4518.0,2021-11-07 00:00:00
1636243200,4518.0,4571.83,4502.37,4541.5,2021-11-07 08:00:00
1636272000,4541.5,4626.02,4518.61,4604.05,2021-11-07 16:00:00
1636300800,4604.04,4637.98,4587.13,4612.59,2021-11-08 00:00:00
1636329600,4612.59,4764.64,4612.0,4723.29,2021-11-08 08:00:00
1636358400,4723.3,4777.22,4703.83,4763.77,2021-11-08 16:00:00
1636387200,4763.78,4822.97,4732.01,4807.98,2021-11-09 00:00:00
1636416000,4807.98,4838.28,4775.77,4783.96,2021-11-09 08:00:00
1636444800,4783.96,4833.29,4753.46,4790.99,2021-11-09 16:00:00
1636473600,4790.98,4801.67,4713.89,4732.33,2021-11-10 00:00:00
1636502400,4732.33,4758.6,4677.91,4714.6,2021-11-10 08:00:00
1636531200,4714.6,4868.0,4693.62,4846.71,2021-11-10 16:00:00
1636560000,4846.94,4864.84,4461.93,4628.78,2021-11-11 00:00:00
1636588800,4628.68,4697.66,4576.47,4691.34,2021-11-11 08:00:00
1636617600,4691.35,4760.56,4653.86,4719.81,2021-11-11 16:00:00
1636646400,4719.82,4779.0,4713.0,4719.0,2021-11-12 00:00:00
1636675200,4719.0,4809.71,4691.0,4711.39,2021-11-12 08:00:00
1636704000,4711.4,4739.28,4540.0,4571.06,2021-11-12 16:00:00
1636732800,4571.07,4693.05,4507.85,4665.46,2021-11-13 00:00:00
1636761600,4665.47,4707.6,4611.3,4645.55,2021-11-13 08:00:00
1636790400,4645.78,4698.0,4584.08,4680.23,2021-11-13 16:00:00
1636819200,4680.24,4701.97,4620.0,4644.28,2021-11-14 00:00:00
